YEAR,WEEKDAY,PRICE
2014,Tuesday,116
2014,Tuesday,116
2014,Tuesday,118
2014,Tuesday,118
2014,Tuesday,119
2014,Tuesday,120
2014,Tuesday,120
2014,Tuesday,121
2014,Tuesday,122
2014,Tuesday,122
2014,Tuesday,122
2014,Tuesday,123
2014,Tuesday,126
2014,Tuesday,127
2014,Tuesday,132
2014,Tuesday,136
2014,Tuesday,138
2014,Tuesday,141
2014,Tuesday,143
2014,Tuesday,143
2014,Tuesday,144
2014,Tuesday,153
2014,Tuesday,158
2014,Tuesday,159
2014,Wednesday,98
2014,Wednesday,101
2014,Wednesday,103
2014,Wednesday,103
2014,Wednesday,106
2014,Wednesday,106
2014,Wednesday,108
2014,Wednesday,108
2014,Wednesday,108
2014,Wednesday,108
2014,Wednesday,108
2014,Wednesday,108
2014,Wednesday,110
2014,Wednesday,110
2014,Wednesday,111
2014,Wednesday,112
2014,Wednesday,112
2014,Wednesday,112
2014,Wednesday,113
2014,Wednesday,113
2014,Wednesday,113
2014,Wednesday,113
2014,Wednesday,113
2014,Wednesday,114
2014,Wednesday,114
2014,Wednesday,115
2014,Wednesday,115
2014,Wednesday,116
2014,Wednesday,116
2014,Wednesday,116
2014,Wednesday,117
2014,Wednesday,117
2014,Wednesday,118
2014,Wednesday,118
2014,Wednesday,118
2014,Wednesday,119
2014,Wednesday,120
2014,Wednesday,121
2014,Wednesday,124
2014,Wednesday,127
2014,Wednesday,129
2014,Wednesday,131
2014,Wednesday,132
2014,Wednesday,134
2014,Wednesday,138
2014,Wednesday,139
2014,Wednesday,140
2014,Wednesday,141
2014,Wednesday,146
2014,Wednesday,153
2014,Wednesday,158
2014,Wednesday,160
2014,Thursday,97
2014,Thursday,99
2014,Thursday,102
2014,Thursday,102
2014,Thursday,102
2014,Thursday,103
2014,Thursday,103
2014,Thursday,105
2014,Thursday,106
2014,Thursday,107
2014,Thursday,107
2014,Thursday,107
2014,Thursday,108
2014,Thursday,109
2014,Thursday,110
2014,Thursday,111
2014,Thursday,111
2014,Thursday,112
2014,Thursday,112
2014,Thursday,113
2014,Thursday,113
2014,Thursday,114
