YEAR,DATE,PRICE
2013,2013-06-27,99
2013,2013-06-28,100
2013,2013-06-29,97
2013,2013-06-30,102
2013,2013-07-01,105
2013,2013-07-02,106
2013,2013-07-03,104
2013,2013-07-04,90
2013,2013-07-05,91
2013,2013-07-06,101
2013,2013-07-07,103
2013,2013-07-08,109
2013,2013-07-09,109
2013,2013-07-10,98
2013,2013-07-11,91
2013,2013-07-12,103
2013,2013-07-13,94
2013,2013-07-14,104
2013,2013-07-15,103
2013,2013-07-16,106
2013,2013-07-17,114
2013,2013-07-18,99
2013,2013-07-19,105
2013,2013-07-20,95
2013,2013-07-21,105
2013,2013-07-22,108
2013,2013-07-23,104
2013,2013-07-24,103
2013,2013-07-25,102
2013,2013-07-26,100
2013,2013-07-27,97
2013,2013-07-28,94
2013,2013-07-29,101
2013,2013-07-30,96
2013,2013-07-31,102
2013,2013-08-01,103
2013,2013-08-02,98
2013,2013-08-03,93
2013,2013-08-04,107
2013,2013-08-05,98
2013,2013-08-06,107
2013,2013-08-07,104
2013,2013-08-08,102
2013,2013-08-09,107
2013,2013-08-10,101
2013,2013-08-11,94
2013,2013-08-12,102
2013,2013-08-13,108
2013,2013-08-14,97
2013,2013-08-15,108
2013,2013-08-16,103
2013,2013-08-17,104
2013,2013-08-18,94
2013,2013-08-19,94
2013,2013-08-20,104
2013,2013-08-21,99
2013,2013-08-22,99
2013,2013-08-23,100
2013,2013-08-24,95
2013,2013-08-25,99
2013,2013-08-26,99
2013,2013-08-27,94
2013,2013-08-28,89
2013,2013-08-29,92
2013,2013-08-30,104
2013,2013-08-31,88
2013,2013-09-01,102
2013,2013-09-02,93
2013,2013-09-03,92
2013,2013-09-04,91
2013,2013-09-05,97
2013,2013-09-06,94
2013,2013-09-07,97
2013,2013-09-08,94
2013,2013-09-09,101
2013,2013-09-10,91
2013,2013-09-11,105
2013,2013-09-12,97
2013,2013-09-13,96
2013,2013-09-14,100
2013,2013-09-15,96
2013,2013-09-16,101
2013,2013-09-17,92
2013,2013-09-18,94
2013,2013-09-19,94
2013,2013-09-20,97
2013,2013-09-21,96
2013,2013-09-22,89
2013,2013-09-23,92
2013,2013-09-24,109
2013,2013-09-25,95
2013,2013-09-26,92
2013,2013-09-27,95
2013,2013-09-28,97
2013,2013-09-29,89
2013,2013-09-30,96
2013,2013-10-01,103
2013,2013-10-02,99
2013,2013-10-03,96
2013,2013-10-04,101
2013,2013-10-05,94
2013,2013-10-06,102
2013,2013-10-07,97
2013,2013-10-08,95
2013,2013-10-09,101
2013,2013-10-10,98
2013,2013-10-11,102
2013,2013-10-12,95
2013,2013-10-13,97
2013,2013-10-14,100
2013,2013-10-15,105
2013,2013-10-16,105
2013,2013-10-17,94
2013,2013-10-18,94
2013,2013-10-19,91
2013,2013-10-20,96
2013,2013-10-21,89
2013,2013-10-22,95
2013,2013-10-23,89
2013,2013-10-24,96
2013,2013-10-25,102
2013,2013-10-26,93
2013,2013-10-27,93
2013,2013-10-28,92
2013,2013-10-29,98
2013,2013-10-30,97
2013,2013-10-31,86
2013,2013-11-01,97
2013,2013-11-02,94
2013,2013-11-03,93
2013,2013-11-04,90
2013,2013-11-05,90
2013,2013-11-06,93
2013,2013-11-07,96
2013,2013-11-08,94
2013,2013-11-09,95
2013,2013-11-10,96
2013,2013-11-11,94
2013,2013-11-12,94
2013,2013-11-13,90
2013,2013-11-14,95
2013,2013-11-15,96
2013,2013-11-16,94
2013,2013-11-17,93
2013,2013-11-18,93
2013,2013-11-19,98
2013,2013-11-20,100
2013,2013-11-21,93
2013,2013-11-22,97
2013,2013-11-23,95
2013,2013-11-24,86
2013,2013-11-25,92
2013,2013-11-26,98
2013,2013-11-27,88
2013,2013-11-28,88
2013,2013-11-29,96
2013,2013-11-30,92
2013,2013-12-01,87
2013,2013-12-02,99
2013,2013-12-03,95
2013,2013-12-04,101
